"Date","Description","Category","Payee","Account","Transfer Account","Amount"
"7. December 2019, 18:25","","Groceries","Perfetto","Daily Expenses","","-5,67"
"7. December 2019, 17:26","Tierhaupten","Restaurants & Cafes","","Daily Expenses","","-14,00"
"7. December 2019, 12:27","Sat Lunch/Coffee","Restaurants & Cafes","","Daily Expenses","","-7,60"
"7. December 2019, 12:10","","Health","Anna Apotheke","Daily Expenses","","-7,95"
"7. December 2019, 09:25","","Restaurants & Cafes","Dunkin’ Donuts","Daily Expenses","","-2,00"
"6. December 2019, 15:14","","Groceries","Perfetto","Daily Expenses","","-2,59"
"6. December 2019, 09:50","","Groceries","DM","Daily Expenses","","-13,85"
"5. December 2019, 12:49","","Groceries","Hüdaverdi Supermarkt","Daily Expenses","","-14,29"
"4. December 2019, 23:15","","Restaurants & Cafes","Christmas market","Daily Expenses","","-26,00"
"4. December 2019, 18:24","","Groceries","DM","Daily Expenses","","-0,95"
"4. December 2019, 18:17","Inserts","Restaurants & Cafes","Schuhe Schmid","Daily Expenses","","-5,99"
"4. December 2019, 13:27","","Groceries","Aldi","Daily Expenses","","-6,16"
"4. December 2019, 13:01","Kuka Lunch","Restaurants & Cafes","","Daily Expenses","","-10,00"
"3. December 2019, 16:54","","Restaurants & Cafes","McDonald's","Daily Expenses","","-4,98"
"2. December 2019, 18:53","","Groceries","DM","Daily Expenses","","-5,90"
"2. December 2019, 18:23","","Restaurants & Cafes","McDonald's","Daily Expenses","","-4,98"
"1. December 2019, 15:22","","Bakery","Ihle","Daily Expenses","","-9,30"
"1. December 2019, 07:00","Kreissparkasse Konto Fee","Bank Fees","Kreissparkasse","Daily Expenses","","-2,95"
"1. December 2019, 07:00","Envivas Travel Insurance","Taxes/Insurance/Fees","","Daily Expenses","","-11,90"
"1. December 2019, 07:00","Rent","Fixed","Miljenko Salopek","Daily Expenses","","-450,00"
"30. November 2019, 19:12","","Groceries","Perfetto","Daily Expenses","","-1,99"
"30. November 2019, 19:00","","Restaurants & Cafes","Christmas market","Daily Expenses","","-7,00"
"30. November 2019, 17:21","","Restaurants & Cafes","Alegro","Daily Expenses","","-8,00"
"30. November 2019, 15:12","","Groceries","Aldi","Daily Expenses","","-12,34"
"29. November 2019, 11:54","Affinity License","Photography","","Daily Expenses","","-33,14"
"29. November 2019, 11:17","Inlingua","Salary","","Daily Expenses","","1.653,58"
"29. November 2019, 10:30","","Groceries","Aldi","Daily Expenses","","-2,97"
"29. November 2019, 10:25","","Groceries","DM","Daily Expenses","","-1,25"
"29. November 2019, 10:22","","Groceries","DM","Daily Expenses","","-23,05"
"29. November 2019, 08:01","Entgelt","Bank Fees","","Daily Expenses","","-4,50"
"29. November 2019, 07:00","MagentaMobile Prepaid XL","Telekom","Telekom","Daily Expenses","","-24,95"
"28. November 2019, 19:00","","Restaurants & Cafes","Christmas market","Daily Expenses","","-7,00"
"28. November 2019, 17:50","","Groceries","Der Hühnerbauer","Daily Expenses","","-5,00"
"28. November 2019, 15:12","","Restaurants & Cafes","McDonald's","Daily Expenses","","-2,49"
"28. November 2019, 08:41","Visa Advance Charge","Bank Fees","","Daily Expenses","","-13,00"
"27. November 2019, 09:08","","Groceries","Hüdaverdi Supermarkt","Daily Expenses","","-7,99"
"26. November 2019, 18:14","","Restaurants & Cafes","Christmas market","Daily Expenses","","-4,00"
"26. November 2019, 15:59","","Groceries","Aldi","Daily Expenses","","-1,29"
"25. November 2019, 11:59","","Groceries","Aldi","Daily Expenses","","-11,25"
"24. November 2019, 07:00","Telekom - landline and wifi","Telekom","Telekom","Daily Expenses","","-45,33"
"23. November 2019, 16:24","","Groceries","Aldi","Daily Expenses","","-3,06"
"23. November 2019, 09:21","","Restaurants & Cafes","Dunkin’ Donuts","Daily Expenses","","-2,00"
"22. November 2019, 20:54","Parking Ticket","Transportation","Stadt Augsburg","Daily Expenses","","-10,00"
"22. November 2019, 15:16","","Health","Anna Apotheke","Daily Expenses","","-7,95"
"22. November 2019, 15:11","","Groceries","Müller","Daily Expenses","","-1,95"
"22. November 2019, 15:05","","Sporting Goods","Karstadt","Daily Expenses","","-5,00"
"22. November 2019, 10:53","","Restaurants & Cafes","Heyzel Coffee","Daily Expenses","","-2,00"
"22. November 2019, 10:08","BLD to RSW","Transportation","","Daily Expenses","","-210,00"
"21. November 2019, 18:15","","Groceries","Netto","Daily Expenses","","-1,59"
"20. November 2019, 21:58","","Beer/Drinks","Drunken Monkey","Daily Expenses","","-9,00"
"20. November 2019, 12:37","","Groceries","Netto","Daily Expenses","","-17,61"
"20. November 2019, 09:09","Mints","Groceries","World of Sweets","Daily Expenses","","-20,29"
"20. November 2019, 07:00","Apple Music","Subscriptions","Apple","Daily Expenses","","-8,00"
"20. November 2019, 07:00","iPad Mobile","Telekom","Telekom","Daily Expenses","","-14,95"
"20. November 2019, 07:00","Waking Up","Health","","Daily Expenses","","-13,55"
"19. November 2019, 19:37","","Groceries","Karstadt","Daily Expenses","","-0,99"
"19. November 2019, 19:17","","Restaurants & Cafes","McDonald's","Daily Expenses","","-5,00"
"19. November 2019, 11:44","","Groceries","Aldi","Daily Expenses","","-5,57"
"19. November 2019, 05:27","PCal","Office","","Daily Expenses","","-4,50"
"19. November 2019, 05:26","Parallel text","Education","","Daily Expenses","","-5,47"
"18. November 2019, 20:42","","Restaurants & Cafes","McDonald's","Daily Expenses","","-2,00"
"18. November 2019, 18:46","","Restaurants & Cafes","Burger King","Daily Expenses","","-6,19"
"18. November 2019, 11:56","","Groceries","Aldi","Daily Expenses","","-12,61"
"18. November 2019, 11:43","","Bakery","Ihle","Daily Expenses","","-3,80"
"18. November 2019, 11:27","","Bakery","Schneider","Daily Expenses","","-1,70"
"18. November 2019, 09:10","","Groceries","Aral","Daily Expenses","","-3,58"
"17. November 2019, 07:00","Netflix","Subscriptions","Netflix","Daily Expenses","","-15,99"
"16. November 2019, 18:24","","Groceries","DM","Daily Expenses","","-1,60"
"16. November 2019, 14:02","","Groceries","Rewe","Daily Expenses","","-2,99"
"16. November 2019, 12:49","","Restaurants & Cafes","Mak Cafe","Daily Expenses","","-3,00"
"16. November 2019, 12:10","","Restaurants & Cafes","Stadtmarkt","Daily Expenses","","-3,00"
"16. November 2019, 07:00","ARD ZDF","Taxes/Insurance/Fees","ARD ZDF","Daily Expenses","","-52,50"
"15. November 2019, 10:31","","Groceries","Aldi","Daily Expenses","","-36,86"
"15. November 2019, 07:00","Eddi's","Subscriptions","Eddi’s Fitness","Daily Expenses","","-34,80"
"14. November 2019, 18:30","","Groceries","Der Hühnerbauer","Daily Expenses","","-5,00"
"14. November 2019, 14:50","Backpack Strap","Sporting Goods","","Daily Expenses","","-8,73"
"14. November 2019, 13:39","","Restaurants & Cafes","Bohème","Daily Expenses","","-5,00"
"14. November 2019, 12:36","","Restaurants & Cafes","Stadtmarkt","Daily Expenses","","-3,00"
"13. November 2019, 12:17","","Groceries","Netto","Daily Expenses","","-6,48"
"13. November 2019, 08:44","","Groceries","Ottillinger","Daily Expenses","","-2,45"
"12. November 2019, 20:15","","Restaurants & Cafes","McDonald's","Daily Expenses","","-6,00"
"12. November 2019, 15:31","","Groceries","Rewe","Daily Expenses","","-4,86"
"12. November 2019, 09:22","","Groceries","Rewe","Daily Expenses","","-4,77"
"12. November 2019, 07:00","Wikipedia","Donations/Charity","Wikimedia Foerdergesellschaft","Daily Expenses","","-5,00"
"11. November 2019, 20:42","","Restaurants & Cafes","McDonald's","Daily Expenses","","-6,50"
"11. November 2019, 11:37","","Groceries","DM","Daily Expenses","","-16,90"
