Nutrition report,,,,,Generated by
31 August 2019 - 8 December 2019,,,,,Keto Diet Tracker
,,,,,http://ke.to 
,,,,,Activity: 9870 kcall burned
,,,,,Weight
Calories,Carbs,Protein,Fat,,
,,,,,Beginning: 89
252002 kcall eaten,6830 g eaten,12176 g eaten,18695 g eaten,,
129% of goal,312% of goal,121% of goal,114% of goal,,End: 83
,11% of calories,20% of calories,69% of calories,,
,,,,,Lost: 6
Water 81750 of 198000 (41% of goal),,,,,
31 August,,,,,Activity: 0 kcall burned
Saturday,Calories,Carbs,Protein,Fat,Weight: 89
,2214 kcall eaten,7 g eaten,139 g eaten,183 g eaten,
,236 kcall over,17 g left,79 g left,12 g over,
,1% of calories,,25% of calories,74% of calories,
Water 2000 of 2000 (100% of goal),,,,,
,,,703.87 kcall,,63.05 g fat
Breakfast,,,2.1 g Carbs,,31.79 g Protein
Bacon - Aldo Bio,,,103.2 kcall,,9.6 g Fat
,,,0.3 g Carbs,,3.9 g Protein
Nürbberger,,,290.67 kcall,,26.67 g Fat
Rostbratwürste,,,0.8 g Carbs,,11.73 g Protein
Fried Egg without Fat,,,190 kcall,,12.78 g Fat
,,,1 g Carbs,,16.16 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
,,,414.44 kcall,,33.11 g fat
Lunch,,,1.35 g Carbs,,28.29 g Protein
Bacon - Aldo Bio,,,103.2 kcall,,9.6 g Fat
,,,0.3 g Carbs,,3.9 g Protein
Ground Beef - Aldi,,,304.2 kcall,,23.4 g Fat
,,,0 g Carbs,,23.4 g Protein
Mushrooms,,,7.04 kcall,,0.11 g Fat
,,,1.05 g Carbs,,0.99 g Protein
,,,1095.83 kcall,,86.37 g fat
Dinner,,,4.17 g Carbs,,79.15 g Protein
Hard-Boiled Egg,,,201.5 kcall,,13.79 g Fat
,,,1.46 g Carbs,,16.35 g Protein
Cevapcici,,,484.33 kcall,,31.08 g Fat
,,,1.81 g Carbs,,51.8 g Protein
Btätspätzle,,,291 kcall,,28 g Fat
,,,0.9 g Carbs,,11 g Protein
Extra Virgin Olive Oil,,,119 kcall,,13.5 g Fat
,,,0 g Carbs,,0 g Protein
,,,0 kcall,,0 g fat
Snacks,,,0 g Carbs,,0 g Protein
1 September,,,,,Activity: 0 kcall burned
Sunday,Calories,Carbs,Protein,Fat,Weight: 89
,3089 kcall eaten,213 g eaten,110 g eaten,137 g eaten,
,1117 kcall over,189 g over,127 g over,34 g left,
,34% of calories,,17% of calories,49% of calories,
Water 1500 of 2000 (75% of goal),,,,,
,,,252.28 kcall,,14.21 g fat
Breakfast,,,27.13 g Carbs,,3.94 g Protein
Buttercroissant,,,252.28 kcall,,14.21 g Fat
,,,27.13 g Carbs,,3.94 g Protein
,,,895.08 kcall,,74.06 g fat
Lunch,,,6.63 g Carbs,,49.44 g Protein
British Brussels Sprouts,,,51 kcall,,1.4 g Fat
Tesco,,,4.1 g Carbs,,3.5 g Protein
Mushrooms,,,5.94 kcall,,0.09 g Fat
,,,0.89 g Carbs,,0.83 g Protein
Organic Virgin Coconut Oil,,,120 kcall,,14 g Fat
Trader Joe's,,,0 g Carbs,,0 g Protein
Nürbberger,,,290.67 kcall,,26.67 g Fat
Rostbratwürste,,,0.8 g Carbs,,11.73 g Protein
Ground Beef - Aldi,,,311.22 kcall,,23.94 g Fat
,,,0 g Carbs,,23.94 g Protein
Hard-Boiled Egg,,,116.25 kcall,,7.96 g Fat
,,,0.84 g Carbs,,9.43 g Protein
,,,1942 kcall,,48.27 g fat
Dinner,,,184.31 g Carbs,,56.7 g Protein
Beer,,,880 kcall,,0 g Fat
,,,72 g Carbs,,9.4 g Protein
Big Mac,,,508 kcall,,25 g Fat
McDonald's,,,43 g Carbs,,26 g Protein
